id,districts_id:id,name
c_236,d_3,Lunuwatta
c_237,d_3,Madulsima
c_238,d_3,Mahiyanganaya
c_239,d_3,Makulella
c_240,d_3,Malgoda
c_241,d_3,Mapakadawewa
c_242,d_3,Maspanna
c_243,d_3,Maussagolla
c_244,d_3,Mawanagama
c_245,d_3,Medawela Udukinda
c_246,d_3,Meegahakiula
c_247,d_3,Metigahatenna
c_248,d_3,Mirahawatta
c_249,d_3,Miriyabedda
c_250,d_3,Nawamedagama
c_251,d_3,Nelumgama
c_252,d_3,Nikapotha
c_253,d_3,Nugatalawa
c_254,d_3,Ohiya
c_255,d_3,Pahalarathkinda
c_256,d_3,Pallekiruwa
c_257,d_3,Passara
c_258,d_3,Pattiyagedara
c_259,d_3,Pelagahatenna
c_260,d_3,Perawella
c_261,d_3,Pitamaruwa
c_262,d_3,Pitapola
c_263,d_3,Puhulpola
c_264,d_3,Rajagalatenna
c_265,d_3,Rathkarawwa
c_266,d_3,Ridimaliyadda
c_267,d_3,Silmiyapura
c_268,d_3,Sirimalgoda
c_269,d_3,Siripura
c_270,d_3,Sorabora Colony
c_271,d_3,Soragune
c_272,d_3,Soranathota
c_273,d_3,Taldena
c_274,d_3,Timbirigaspitiya
c_275,d_3,Uduhawara
c_276,d_3,Uraniya
c_277,d_3,Uva Karandagolla
c_278,d_3,Uva Mawelagama
c_279,d_3,Uva Tenna
c_280,d_3,Uva Tissapura
c_281,d_3,Welimada
c_282,d_3,Weranketagoda
c_283,d_3,Wewatta
c_284,d_3,Wineethagama
c_285,d_3,Yalagamuwa
c_286,d_3,Yalwela
c_287,d_4,Addalaichenai
c_288,d_4,Ampilanthurai
c_289,d_4,Araipattai
c_290,d_4,Ayithiyamalai
c_291,d_4,Bakiella
c_292,d_4,Batticaloa
c_293,d_4,Cheddipalayam
c_294,d_4,Chenkaladi
c_295,d_4,Eravur
c_296,d_4,Kaluwanchikudi
c_297,d_4,Kaluwankemy
c_298,d_4,Kannankudah
c_299,d_4,Karadiyanaru
c_300,d_4,Kathiraveli
c_301,d_4,Kattankudi
c_302,d_4,Kiran
c_303,d_4,Kirankulam
c_304,d_4,Koddaikallar
c_305,d_4,Kokkaddicholai
c_306,d_4,Kurukkalmadam
c_307,d_4,Mandur
c_308,d_4,Miravodai
c_309,d_4,Murakottanchanai
c_310,d_4,Navagirinagar
c_311,d_4,Navatkadu
c_312,d_4,Oddamavadi
c_313,d_4,Palamunai
c_314,d_4,Pankudavely
c_315,d_4,Periyaporativu
c_316,d_4,Periyapullumalai
c_317,d_4,Pillaiyaradi
c_318,d_4,Punanai
c_319,d_4,Thannamunai
c_320,d_4,Thettativu
c_321,d_4,Thikkodai
c_322,d_4,Thirupalugamam
c_323,d_4,Unnichchai
c_324,d_4,Vakaneri
c_325,d_4,Vakarai
c_326,d_4,Valaichenai
c_327,d_4,Vantharumoolai
c_328,d_4,Vellavely
c_329,d_5,Akarawita
c_330,d_5,Ambalangoda
c_331,d_5,Athurugiriya
c_332,d_5,Avissawella
c_333,d_5,Batawala
c_334,d_5,Battaramulla
c_335,d_5,Biyagama
c_336,d_5,Bope
c_337,d_5,Boralesgamuwa
c_338,d_5,Colombo 8
c_339,d_5,Dedigamuwa
c_340,d_5,Dehiwala
c_341,d_5,Deltara
c_342,d_5,Habarakada
c_343,d_5,Hanwella
c_344,d_5,Hiripitya
c_345,d_5,Hokandara
c_346,d_5,Homagama
c_347,d_5,Horagala
c_348,d_5,Kaduwela
c_349,d_5,Kaluaggala
c_350,d_5,Kapugoda
c_351,d_5,Kehelwatta
c_352,d_5,Kiriwattuduwa
c_353,d_5,Kolonnawa
c_354,d_5,Kosgama
c_355,d_5,Madapatha
c_356,d_5,Maharagama
c_357,d_5,Malabe
c_358,d_5,Moratuwa
c_359,d_5,Mount Lavinia
c_360,d_5,Mullegama
c_361,d_5,Napawela
c_362,d_5,Nugegoda
c_363,d_5,Padukka
c_364,d_5,Pannipitiya
c_365,d_5,Piliyandala
c_366,d_5,Pitipana Homagama
c_367,d_5,Polgasowita
c_368,d_5,Pugoda
c_369,d_5,Ranala
c_370,d_5,Siddamulla
c_371,d_5,Siyambalagoda
c_372,d_5,Sri Jayawardenepura
c_373,d_5,Talawatugoda
c_374,d_5,Tummodara
c_375,d_5,Waga
c_376,d_5,Colombo 6
c_377,d_6,Agaliya
c_378,d_6,Ahangama
c_379,d_6,Ahungalla
c_380,d_6,Akmeemana
c_381,d_6,Alawatugoda
c_382,d_6,Aluthwala
c_383,d_6,Ampegama
c_384,d_6,Amugoda
c_385,d_6,Anangoda
c_386,d_6,Angulugaha
c_387,d_6,Ankokkawala
c_388,d_6,Aselapura
c_389,d_6,Baddegama
c_390,d_6,Balapitiya
c_391,d_6,Banagala
c_392,d_6,Batapola
c_393,d_6,Bentota
c_394,d_6,Boossa
c_395,d_6,Dellawa
c_396,d_6,Dikkumbura
c_397,d_6,Dodanduwa
c_398,d_6,Ella Tanabaddegama
c_399,d_6,Elpitiya
c_400,d_6,Galle
c_401,d_6,Ginimellagaha
c_402,d_6,Gintota
c_403,d_6,Godahena
c_404,d_6,Gonamulla Junction
c_405,d_6,Gonapinuwala
c_406,d_6,Habaraduwa
c_407,d_6,Haburugala
c_408,d_6,Hikkaduwa
c_409,d_6,Hiniduma
c_410,d_6,Hiyare
c_411,d_6,Kahaduwa
c_412,d_6,Kahawa
c_413,d_6,Karagoda
c_414,d_6,Karandeniya
c_415,d_6,Kosgoda
c_416,d_6,Kottawagama
c_417,d_6,Kottegoda
c_418,d_6,Kuleegoda
c_419,d_6,Magedara
c_420,d_6,Mahawela Sinhapura
c_421,d_6,Mapalagama
c_422,d_6,Mapalagama Central
c_423,d_6,Mattaka
c_424,d_6,Meda-Keembiya
c_425,d_6,Meetiyagoda
c_426,d_6,Nagoda
c_427,d_6,Nakiyadeniya
c_428,d_6,Nawandagala
c_429,d_6,Neluwa
c_430,d_6,Nindana
c_431,d_6,Pahala Millawa
c_432,d_6,Panangala
c_433,d_6,Pannimulla Panagoda
c_434,d_6,Parana Thanayamgoda
c_435,d_6,Patana
c_436,d_6,Pitigala
c_437,d_6,Poddala
c_438,d_6,Polgampola
c_439,d_6,Porawagama
c_440,d_6,Rantotuwila
c_441,d_6,Talagampola
